tema_id,subtema,nombre_completo,participacion_pct,intensidad_media,impacto_en_polaridad,direccion,confianza,contribucion_pct,coef_ridge,coef_logit,correlacion,ranking_contribucion,mensaje
1,delitos_patrimoniales,Seguridad y Criminalidad - Delitos_patrimoniales,9.97,-0.084,Alta,Polaridad negativa,Alta,14.92,0.411779,0.033981,0.438547,1,Seguridad y Criminalidad - Delitos_patrimoniales: Polaridad negativa | impacto Alta | confianza Alta | contribución 14.92%.
0,basura,Servicios e Infraestructura Pública - Basura,9.49,-0.0471,Alta,Polaridad negativa,Alta,11.45,0.316036,0.04856,0.529364,2,Servicios e Infraestructura Pública - Basura: Polaridad negativa | impacto Alta | confianza Alta | contribución 11.45%.
4,educacion,Educación y Cultura - Educacion,9.94,0.0401,Alta,Polaridad positiva,Alta,10.93,0.301572,0.107135,0.455211,3,Educación y Cultura - Educacion: Polaridad positiva | impacto Alta | confianza Alta | contribución 10.93%.
1,violencia_crimen_organizado,Seguridad y Criminalidad - Violencia_crimen_organizado,5.96,-0.0795,Alta,Polaridad negativa,Alta,10.83,0.298845,0.027062,0.316159,4,Seguridad y Criminalidad - Violencia_crimen_organizado: Polaridad negativa | impacto Alta | confianza Alta | contribución 10.83%.
4,cultura,Educación y Cultura - Cultura,6.23,-0.0012,Alta,Polaridad negativa,Alta,10.19,0.281267,0.046694,0.470055,5,Educación y Cultura - Cultura: Polaridad negativa | impacto Alta | confianza Alta | contribución 10.19%.
3,obras,Obra Pública e Inversión - Obras,6.21,0.0171,Alta,Polaridad positiva,Alta,8.46,0.233573,0.073275,0.281605,6,Obra Pública e Inversión - Obras: Polaridad positiva | impacto Alta | confianza Alta | contribución 8.46%.
1,prevencion_vigilancia,Seguridad y Criminalidad - Prevencion_vigilancia,5.2,0.0403,Alta,Polaridad positiva,Alta,7.7,0.212453,0.077824,0.256989,7,Seguridad y Criminalidad - Prevencion_vigilancia: Polaridad positiva | impacto Alta | confianza Alta | contribución 7.70%.
1,violencia_personas,Seguridad y Criminalidad - Violencia_personas,2.3,-0.0684,Alta,Polaridad negativa,Alta,5.8,0.159907,0.014987,0.205033,8,Seguridad y Criminalidad - Violencia_personas: Polaridad negativa | impacto Alta | confianza Alta | contribución 5.80%.
0,alumbrado,Servicios e Infraestructura Pública - Alumbrado,3.05,0.0751,Alta,Polaridad positiva,Alta,5.78,0.159537,0.076657,0.230512,9,Servicios e Infraestructura Pública - Alumbrado: Polaridad positiva | impacto Alta | confianza Alta | contribución 5.78%.
6,gobierno,Gobernanza y Administración Pública - Gobierno,15.59,-0.0417,Alta,Polaridad negativa,Alta,5.37,0.148165,0.031623,0.477345,10,Gobernanza y Administración Pública - Gobierno: Polaridad negativa | impacto Alta | confianza Alta | contribución 5.37%.
2,vialidad,Medio Ambiente y Servicios de Agua - Vialidad,4.92,-0.0264,Alta,Polaridad negativa,Media,2.94,0.08124,0.021937,0.084226,11,Medio Ambiente y Servicios de Agua - Vialidad: Polaridad negativa | impacto Alta | confianza Media | contribución 2.94%.
2,drenaje,Medio Ambiente y Servicios de Agua - Drenaje,0.2,-0.0852,Alta,Polaridad negativa,Baja,2.53,0.069902,0.003005,0.060734,12,Medio Ambiente y Servicios de Agua - Drenaje: Polaridad negativa | impacto Alta | confianza Baja | contribución 2.53%.
2,pavimento,Medio Ambiente y Servicios de Agua - Pavimento,0.53,-0.0467,Media,Polaridad negativa,Baja,1.75,0.048195,0.007721,0.018234,13,Medio Ambiente y Servicios de Agua - Pavimento: Polaridad negativa | impacto Media | confianza Baja | contribución 1.75%.
0,agua,Servicios e Infraestructura Pública - Agua,2.47,0.0239,Media,Polaridad positiva,Media,1.34,-0.036905,0.033702,0.192595,14,Servicios e Infraestructura Pública - Agua: Polaridad positiva | impacto Media | confianza Media | contribución 1.34%.
