doc_id,texto,tokens,positivas,negativas,polaridad_score
0,mundial social de las cuatro casas del al de junio vive el mundialsocial en el foro cuauhtemoc este ,28,0,0,0.0
1,la llegada de la universidad nacional rosario castellanos unrc a ciudad naucalpan es resultado de la,20,3,0,0.15
2,la paz se construye todos los dias no solo con mas seguridad sino tambien con mas oportunidades mejo,30,1,0,0.03333333333333333
3,seguimos acercando oportunidades para que ninguna nina o nino de ciudad naucalpan se quede atras por,81,7,0,0.08641975308641975
4,seguimos acercando oportunidades para que ninguna nina o nino de ciudad naucalpan se quede atras por,29,2,0,0.06896551724137931
5,con orgullo pasion y esperanza hoy gritamos juntos vamos mexico naucalpan,7,0,0,0.0
6,la transformacion de ciudad naucalpan se fortalece con la participacion responsable de las y los con,27,2,0,0.07407407407407407
7,el mundialsociallascuatrocasas lleno de emocion alegria y pasion mundialista el corazon de naucalpan,35,0,0,0.0
8,en este dia del orgullo autista celebramos la identidad la diversidad y el derecho de cada persona a,12,0,0,0.0
9,asisti a una entrega mas de las becasritacetina en el forofelipevillanueva un programa impulsado por,21,4,0,0.19047619047619047
10,esta noche el mundialsociallascuatrocasas se llena de emocion con el encuentro entre colombia y uzbe,18,0,0,0.0
11,te esperamos en plaza revolucion disfruta la transmision del encuentro entre uzbekistan y colombia c,12,0,0,0.0
12,hoy dimos un paso historico junto a mi amiga y companera la alcaldesa de azcapotzalco nancy nunez al,22,2,0,0.09090909090909091
13,al grito de naucalpan naucalpan y mexico mexico el mundialsociallas casas se vivio con gran emocion ,30,0,0,0.0
14,sabias que en ciudad naucalpan actualmente hay mas de obras realizadas por el municipio aquigobierna,8,0,0,0.0
15,te esperamos en plaza revolucion disfruta la transmision del encuentro entre ghana y panama correspo,13,0,0,0.0
16,el mundialsociallascuatrocasas en ciudad naucalpan se vive con pasion y gran ambiente desde la plaza,17,0,0,0.0
17,sonrisas emocion porras y familias reunidas asi se vivio el primer partido del mundialsociallascuatr,14,0,0,0.0
18,asi se vive el mundialsociallascuatrocasas en naucalpan con emocion sonrisas y cientos de personas d,12,0,0,0.0
19,te esperamos en plaza revolucion disfruta la transmision del encuentro entre inglaterra y croacia co,13,0,0,0.0
20,este de junio la emocion del mundialsociallascuatrocasas llega a plazarevolucion te invitamos a disf,22,1,0,0.045454545454545456
21,asisti a una nueva entrega de las becasritacetina donde se distribuyeron mas de mil tarjetas destina,19,4,0,0.21052631578947367
22,mananera del pueblo transformacion,3,1,0,0.3333333333333333
23,con mucho gusto felicito a katia itzel por su debut en el encuentro entre paises bajos vs japon resu,26,1,0,0.038461538461538464
24,este lunes asisti a la mesa de paz en valledechalco encabezada por nuestra gobernadora la maestra de,45,1,0,0.022222222222222223
25,mundial social de las cuatro casas mundialsocial lascuatrocasas naucalpan aquigobiernalaesperanza hu,9,0,0,0.0
26,buscas donde realizar tu servicio social o practicas profesionales consulta en las imagenes los requ,19,3,0,0.15789473684210525
27,si naciste en es momento de tramitar tu cartilla militar consulta la imagen para conocer requisitos ,17,0,0,0.0
28,a traves del curso seguridad y salud ocupacional mediante realidad virtual fortalecemos la prevencio,22,4,0,0.18181818181818182
29,en el deportivoboulevares el presidente municipal isaac montoya encabezo la mesadepaz y la estrategi,25,0,0,0.0
30,el gobierno de ciudad naucalpan invita a la ciudadania a participar en el proceso de seleccion y des,25,0,0,0.0
31,de junio de recordamos a ramon lopez velarde una de las figuras mas importantes de la literatura mex,16,0,0,0.0
32,fortalece tu emprendimiento con mas herramientas y conocimientos el gobierno de ciudad naucalpan a t,19,0,1,-0.05263157894736842
33,durante esta gran fiesta deportiva internacional hagamos equipo por una sociedad libre de violencia ,16,0,1,-0.0625
34,plazarevolucion se convirtio en un espacio de encuentro para vivir la pasion mundialista familias na,33,0,0,0.0
35,naucalpan es hogar de una gran riqueza natural de las especies de vertebrados registradas en nuestro,18,0,0,0.0
36,a traves de la caravanadelempleo impulsandoelempleo el gobierno de ciudad naucalpan encabezado por e,24,0,0,0.0
37,las y los naucalpenses seguimos sembrando esperanza para construir un municipio mas sostenible sumat,17,0,0,0.0
38,ganamos mexico marcadorfinal,3,0,0,0.0
39,vamos mexico naucalpan,2,0,0,0.0
40,gol de mexico vamos mexico naucalpan,4,0,0,0.0
41,marcador de medio tiempo vamos mexico naucalpan,4,0,0,0.0
42,tienes adeudos te invitamos a aprovechar el de condonacion en multas y recargos generados por adeudo,17,0,0,0.0
43,desde ciudad naucalpan decimos vamos mexico huellasdelmundial,5,0,0,0.0
44,impulsamos el empleo en ciudad naucalpan acercate registrate y haz crecer tu empresa con el talento ,13,0,0,0.0
45,te interesa la fotografia el arte urbano o la produccion audiovisual el gobierno de naucalpan en coo,36,1,0,0.027777777777777776
46,en ciudad naucalpan nuestro palacio municipal se viste con la fiebre del mundialsocial se vive en ca,19,0,0,0.0
47,escuchar sin juzgar puede salvar una vida informate escucha y acompana aquigobiernalaesperanza nauca,10,0,0,0.0
48,gol fest naucalli invita a las y los naucalpenses a disfrutar de entretenimiento y ambiente futboler,17,0,0,0.0
49,en el dia del orgullo autista reconocemos que cada persona tiene una manera unica de pensar comunica,24,0,0,0.0
50,como un beneficio adicional para las personas que acuden por sus tarjetas de las becasritacetina aho,14,1,0,0.07142857142857142
51,hoy juega mexico vivamos juntos la emocion de esta gran fiesta deportiva internacional y apoyemos a ,15,0,0,0.0
52,ni la lluvia bajo el entusiasmo al seguir de cerca el mundialsociallas casas con gran emocion en la ,53,0,0,0.0
53,servicio de relevo este servicio es para ti usalo cuando lo necesites aquigobiernalaesperanza naucal,10,2,0,0.2
54,la creatividad y el asombro por el universo llegan a ciudad naucalpan con la muestrafotograficaastro,24,0,0,0.0
55,el mundialsociallascuatrocasas en ciudad naucalpan se vive con pasion y gran ambiente desde la plaza,32,1,0,0.03125
56,asi se vivio el primer partido del mundialsociallascuatrocasas en ciudad naucalpan te esperamos en p,9,0,0,0.0
57,vive una tarde de musica y cultura con el concierto rock sinfonico metamorfeame tributo a caifanes a,23,2,0,0.08695652173913043
58,con el proposito de acercar servicios gratuitos que contribuyan al bienestar de las familias naucalp,15,0,0,0.0
59,te esperamos en plaza revolucion disfruta la transmision del encuentro entre portugal y republica de,17,0,0,0.0
60,naucalpenses celebraron el dia del padre con futbol convivencia y grandes sorpresas en el parquenauc,48,0,0,0.0
61,seguimos transformando nuestras vialidades invitamos a las y los vecinos a acompanarnos al inicio de,28,2,0,0.07142857142857142
62,mundial social de las cuatro casas en naucalpan el futbol se convierte en encuentro cultura y comuni,61,2,0,0.03278688524590164
63,buscas donde realizar tu servicio social o practicas profesionales el gobierno de ciudad naucalpan a,31,3,0,0.0967741935483871
64,el gobierno de ciudad naucalpan realizo la segunda sesion de la ruta fotografica de identidadnaucalp,41,1,0,0.024390243902439025
65,feliz dia del padre a todos los papas de ciudad naucalpan aquigobiernalaesperanza diadelpadre naucal,8,0,0,0.0
66,feliz dia del padre te amo papa,4,0,0,0.0
67,hoy reconocemos a quienes protegen a nuestras familias dentro y fuera del servicio a todos los papas,18,2,0,0.1111111111111111
68,ciudad naucalpan es uno de los municipios del estado de mexico que cuenta con un agrupamiento k nues,17,3,0,0.17647058823529413
69,me reuni con nuestros amigos edgar olvera la diputada federal lily carbajal y con el gran equipo que,20,0,0,0.0
70,si naciste en es momento de tramitar tu cartilla militar fecha limite de recepcion de documentos de ,53,0,0,0.0
71,la llegada de la universidad nacional rosario castellanos unrc a ciudad naucalpan es resultado de la,63,5,0,0.07936507936507936
72,celebra el dia del padre en el gol fest naucalli el difnaucalpan te invita a disfrutar del partido e,28,0,0,0.0
73,te compartimos el comunicado no en su version de lectura facil esta version esta elaborada con un le,16,0,0,0.0
74,la seguridad de ciudad naucalpan se fortalece con personal altamente capacitado y especializado la u,27,3,0,0.1111111111111111
75,la guardia municipal de naucalpan mantiene recorridos permanentes de seguridad y prevencion en disti,45,5,1,0.08888888888888889
76,es momento de que tu talento brille si tienes entre y anos y vives en naucalpan participa en el conc,39,0,0,0.0
77,hay heroes que patrullan nuestras calles cuidan nuestras colonias y velan por la tranquilidad de mil,12,1,0,0.08333333333333333
78,dimos un paso historico junto a mi amiga y companera la alcaldesa de azcapotzalco nancy nunez al fir,36,4,0,0.1111111111111111
79,el gobierno municipal de ciudad naucalpan pone a disposicion de la ciudadania el programa de testame,32,2,0,0.0625
80,en el deportivoboulevares el presidente municipal isaac montoya encabezo la mesadepaz y la estrategi,45,0,0,0.0
81,la paz se construye todos los dias no solo con mas seguridad sino tambien con mas oportunidades mejo,80,3,1,0.025
82,el gobierno de ciudad naucalpan invita a la ciudadania a participar en el proceso de seleccion y des,41,0,0,0.0
83,septuagesima sesion ordinaria de cabildo resolutiva octogesima sexta ayuntamiento de naucalpan de ju,12,0,0,0.0
84,en el foro felipe villanueva del parquenaucalli el presidente municipal isaac montoya junto a elizab,115,10,1,0.0782608695652174
85,seguimos acercando oportunidades para que ninguna nina o nino de ciudad naucalpan se quede atras por,83,7,0,0.08433734939759036
86,seguimos acercando oportunidades para que ninguna nina o nino de ciudad naucalpan se quede atras por,126,8,0,0.06349206349206349
87,el gobierno de ciudad naucalpan a traves del area de serviciospublicos realizo trabajos de reparacio,33,2,0,0.06060606060606061
88,naucalpan es hogar de una gran riqueza natural de las especies de vertebrados registradas en nuestro,21,0,0,0.0
89,te interesa aprender un oficio creativo y fortalecer tu autonomia economica el imnis te invita a par,33,0,0,0.0
