post_url,page_url,page_handle,autor,fecha_post,fecha_post_date,post_texto,num_comentarios_post,reacciones_post
https://www.facebook.com/reel/1236488025077423/,https://www.facebook.com/CiudadNaucalpan,ciudadnaucalpan,Ciudad Naucalpan / Gobierno Municipal 2025-2027.,2026-01-29 17:25:07,2026-01-29,"Después de las fiestas, cuidemos el medio ambiente🎄♻️ 

En Ciudad Naucalpan, los árboles de Navidad tienen un destino responsable.
A través de la Dirección de Medio Ambiente y en coordinación con Parque Naucalli, llevamos a cabo el programa de reciclaje y triturado de árboles de Navidad, transformándolos en material útil para el cuidado de nuestras áreas verdes.

Reciclar tu árbol es una acción sencilla que contribuye al cuidado del medio ambiente y a la preservación de los espacios públicos que disfrutamos todas y todos.🌱

👉Lleva tu árbol natural, sin adornos ni base, de lunes a viernes, de 9:00 a 15:00 horas, en:

📍 La Dirección de Medio Ambiente de Ciudad Naucalpan.

📍 Parque Naucalli.

Hasta el 16 de febrero.

Seguimos impulsando iniciativas que promueven la conciencia ambiental y la participación ciudadana.

#AquiGobiernaLaEsperanza #Naucalpan #MedioAmbiente #Reciclaje #ParqueNaucalli #CuidadoAmbiental",9,418
https://www.facebook.com/CiudadNaucalpan/posts/pfbid028U2X5m5RcL37RVzkL2t3c6eG9YJZMkeU4qakyuPAvSRYpTW12FohxGepF85XdFdcl,https://www.facebook.com/CiudadNaucalpan,ciudadnaucalpan,Ciudad Naucalpan / Gobierno Municipal 2025-2027.,2026-01-29 15:15:55,2026-01-29,"Desde el Gobierno de la Ciudad de Naucalpan, se brindó atención oportuna a un caso de persona adulta mayor en situación de vulnerabilidad, a través de una intervención interinstitucional coordinada por el Sistema Municipal DIF Naucalpan.

En esta acción participaron de manera conjunta Asistencia Social, Atención a Personas Adultas Mayores, Asistencia a la Salud del DIF, Protección Civil, Guardia Municipal y personal de OASyS de la zona, quienes atendieron a la persona en situación de calle, valoraron su estado de salud y realizaron su traslado en ambulancia al Hospital Maximiliano Ruiz Castañeda, donde quedó internada para recibir atención médica especializada.

Asimismo, se dio seguimiento a otros reportes relacionados con la protección de personas adultas mayores, reforzando la labor preventiva y de acompañamiento social.

El Gobierno de la Ciudad de Naucalpan continúa trabajando de manera coordinada para garantizar la seguridad, la atención y el bienestar de las personas más vulnerables, priorizando siempre el respeto a los derechos humanos y la dignidad de cada persona.

#AquiGobiernaLaEsperanza #Naucalpan",10,543
https://www.facebook.com/reel/1261517169221250/,https://www.facebook.com/CiudadNaucalpan,ciudadnaucalpan,Ciudad Naucalpan / Gobierno Municipal 2025-2027.,2026-01-29 13:52:18,2026-01-29,"REMUS en marcha en nuestras comunidades.🔊

El Gobierno de Ciudad Naucalpan, encabezado por el Presidente Municipal Isaac Montoya, impulsa la Red Municipal de Seguridad (REMUS), una estrategia innovadora que conecta directamente a las y los vecinos con las autoridades municipales a través de la aplicación gratuita REMUS Naucalpan. 📲 

Con solo dos clics, las y los naucalpenses pueden activar una alarma vecinal, alertar al C4 y recibir apoyo inmediato de la patrulla más cercana, fortaleciendo la coordinación entre ciudadanía y gobierno. 🤝🚨

Gracias a este sistema, ya son decenas de colonias las que cuentan con alarmas activas y redes vecinales conectadas, haciendo de Naucalpan un municipio más seguro, organizado.

#AquiGobiernaLaEsperanza #REMUS #Seguridad #Naucalpan",7,498
https://www.facebook.com/reel/1218539286497184/,https://www.facebook.com/CiudadNaucalpan,ciudadnaucalpan,Ciudad Naucalpan / Gobierno Municipal 2025-2027.,2026-01-29 13:02:54,2026-01-29,"Operativo Integral de Mantenimiento en la Avenida Adolfo López Mateos🚛

El Gobierno de Ciudad Naucalpan a través de la Dirección de Servicios Públicos realizó un Operativo Integral de Mantenimiento en la Avenida Adolfo López Mateos, enfocado en mejorar la imagen urbana, la seguridad vial y peatonal, para fortalecer uno de los principales accesos al municipio.

Se rehabilitaron 23,550 m² de áreas verdes, se realizó la poda de 2,760 metros lineales de bordes y setos y el riego de 10,000 m² de superficie verde. Además, se llevaron a cabo trabajos de balizamiento de cruces peatonales, pintura de guarniciones.

#AquiGobiernaLaEsperanza #Naucalpan #ServiciosPúblicos",123,776
https://www.facebook.com/reel/1160495262825883/,https://www.facebook.com/isaacmontoya24,isaacmontoya24,Isaac Montoya,2026-01-29 13:00:53,2026-01-29,"Es un orgullo haber recibido en Ciudad Naucalpan a Jahir Ocampo, ex clavadista olímpico, en el marco de la Ratificación de la Federación Mexicana de Clavados y Clavados de Altura, un evento histórico del que nuestro municipio fue sede. 🇲🇽

Desde Ciudad Naucalpan refrendamos nuestro compromiso de apoyar a cada atleta y a cada disciplina, acompañando su esfuerzo con iniciativas que fortalezcan su desarrollo y bienestar.

#AquiGobiernaLaEsperanza #Naucalpan #Deporte #Clavados",18,850
https://www.facebook.com/CiudadNaucalpan/posts/pfbid02kFg66uD63JsGaBJWMCGRzyx5qohGkCTQB6GDQyz7Eeak2TgsCxa13gD67QzjNTnFl,https://www.facebook.com/CiudadNaucalpan,ciudadnaucalpan,Ciudad Naucalpan / Gobierno Municipal 2025-2027.,2026-01-29 10:09:46,2026-01-29,"Pago Predial Naucalpan 2026🏠

Paga en Tesorería, receptorías, bancos o en línea.

💻 Pago en línea:

👉 https://f.mtr.cool/fybqjefxcq

Cumplir fortalece tu colonia y tu municipio.

#AquiGobiernaLaEsperanza #Naucalpan #Predial2026 #TesoreriaMunicipal",6,527
https://www.facebook.com/reel/710830648629354/,https://www.facebook.com/CiudadNaucalpan,ciudadnaucalpan,Ciudad Naucalpan / Gobierno Municipal 2025-2027.,2026-01-29 09:35:58,2026-01-29,"El Gobierno de Ciudad Naucalpan, a través de la Dirección de Servicios Públicos, atendió de manera oportuna la situación sanitaria del Mercado de Molino, donde la acumulación de residuos sólidos representaba un riesgo para la salud pública de comerciantes y familias usuarias.

Como parte de esta intervención, se instaló un contenedor de basura que permite mejorar el control, la recolección y el retiro oportuno de los residuos, contribuyendo a mantener un entorno más limpio, ordenado y seguro para la comunidad.

#AquiGobiernaLaEsperanza #Naucalpan #ServiciosPublicos",137,877
https://www.facebook.com/CiudadNaucalpan/posts/pfbid027wzcp2XQJtH8x5GP9YNeSSjaR3Y8QhFZM5a6aAdBWLZ4xupfDbn3s7knRqmZnAXol,https://www.facebook.com/CiudadNaucalpan,ciudadnaucalpan,Ciudad Naucalpan / Gobierno Municipal 2025-2027.,2026-01-29 07:31:04,2026-01-29,"Guía Ciudadana para el Pago del Impuesto Predial 2026🧾🏠 

En el Gobierno de Ciudad Naucalpan trabajamos para que cada trámite sea más claro, sencillo y accesible para todas y todos.

👉Consulta en las imágenes la guía completa con los requisitos, opciones de pago y descuentos vigentes, y realiza tu contribución de forma fácil y sin contratiempos.

Tu predial se transforma en obras, servicios y mejores espacios para nuestra comunidad.

#AquiGobiernaLaEsperanza #Naucalpan #Predial2026 #TesoreriaMunicipal",5,522
https://www.facebook.com/CiudadNaucalpan/posts/pfbid02jLi1ScAPnLCiGpS7t9G2cWEcK11KADqmRPNygT1kqRbwRUZDgmnfHLpSffqbMYawl,https://www.facebook.com/CiudadNaucalpan,ciudadnaucalpan,Ciudad Naucalpan / Gobierno Municipal 2025-2027.,2026-01-29 07:03:25,2026-01-29,"¿Sabías qué? ⚽🌍
El primer jugador mexicano en anotar en un Mundial fue Manuel Rosas, durante el Primer Mundial de Fútbol en Uruguay, en 1930.
#AquiGobiernaLaEsperanza #HuellasDelMundial #Naucalpan",1,532
https://www.facebook.com/reel/1191576123140259/,https://www.facebook.com/GuardiaMunicipalCiudadNaucalpan,guardiamunicipalciudadnaucalpan,Guardia Municipal Ciudad Naucalpan,2026-01-28 22:04:06,2026-01-28,"Recuperación de vehículo con reporte de robo🚨

Gracias a la rápida actuación y coordinación operativa de la Guardia Municipal de Ciudad Naucalpan, se logró la recuperación de un vehículo con reporte de robo, sustraído en el municipio de Cuautitlán Izcalli.

Seguimos trabajando de manera coordinada para fortalecer la seguridad en el municipio.

#AquiGobiernaLaEsperanza #GuardiaMunicipal #Naucalpan #Seguridad #Coordinacion",5,515
