doc_id,texto,tokens,positivas,negativas,polaridad_score
0,Huellas de la Transformación en Jardines del Molinito #AquiGobiernaLaEsperanza #Naucalpan #HuellasDe,7,1,0,0.14285714285714285
1,"Regresé al parque de Jardines del Molinito, un espacio que durante casi 10 años estuvo en abandono y",14,0,1,-0.07142857142857142
2,"Encabecé la #MesaDePaz en la colonia #Modelo, donde también dimos inicio a la actividad “Balón por l",19,0,0,0.0
3,Rueda de prensa Naucalpan es el municipio con mayor reducción en robo de vehículos asegurados en el ,18,0,1,-0.05555555555555555
4,"Hoy, 12 de marzo, conmemoramos el Día Mundial del Riñón. #AquiGobiernaLaEsperanza #Naucalpan #Salud ",9,0,0,0.0
5,"Para acercar los servicios de salud a la comunidad, llevamos el programa “Impulsando tu Salud en tu ",21,1,0,0.047619047619047616
6,"Llevamos Impulsando tu Salud en tu Comunidad a La Mancha II, acercando consultas médicas y servicios",16,0,0,0.0
7,Mañanera del Pueblo. #AquiGobiernaLaEsperanza #Naucalpan #CuartaTransformacion,5,0,0,0.0
8,"Dale a tu vida una esperanza. Por un Naucalpan que escucha, cuida y acompaña. #DaleATuVidaUnaEsperan",11,0,0,0.0
9,"Estoy por entrar a una reunión en Palacio Nacional convocada por la Presidenta de México, la Doctora",20,0,0,0.0
10,Mañanera del Pueblo. #AquiGobiernaLaEsperanza #Naucalpan #CuartaTransformacion,5,0,0,0.0
11,"Seguimos dejando #HuellasDeLaTransformación en La Era #CasasViejas. Entregamos, junto con vecinas y ",18,1,0,0.05555555555555555
12,"Como parte de la Campaña de Vacunación 2026 en el #EdoMex y de la Jornada de Vacunación Dominical, a",21,0,0,0.0
13,"Como parte de la Campaña de Vacunación 2026 en el #EdoMex y de la Jornada de Vacunación Dominical, a",21,0,0,0.0
14,"Hoy conocimos a Celeste, quien busca cumplir un sueño muy especial: ser la Reina de la Primavera de ",10,1,0,0.1
15,"Este día es de memoria, reconocimiento y reflexión. Recordamos a las mujeres que han luchado por la ",15,0,1,-0.06666666666666667
16,"En el marco del #8M, acompañé a más de dos mil mujeres de #Naucalpan en la firma del Manifiesto Nauc",19,0,0,0.0
17,"En el marco del #8M, acompañé a más de dos mil mujeres de #Naucalpan en la firma del Manifiesto Nauc",19,0,0,0.0
18,"Me dio gusto coincidir con consejeras y consejeros de todo el país, entre ellas Susy Ángeles, Direct",21,0,0,0.0
19,"Asistí a la VII Sesión Ordinaria del Consejo Nacional de Morena, un espacio de reflexión y construcc",19,0,0,0.0
20,"Nos encontramos en la VII Sesión Ordinaria del Consejo Nacional de Morena, un espacio de reflexión y",20,0,0,0.0
21,La transformación del Periférico Norte continúa Actualmente contamos con un 35% de avance en este im,20,4,0,0.2
22,Desde el Pueblo de Santiago Occipaco encabezamos una nueva Mesa de Paz itinerante. En esta jornada l,74,2,1,0.013513513513513514
23,"Bajo la consigna de recuperar el tejido social, regresé a la colonia Luisa Isabel Campos de Jiménez ",27,2,0,0.07407407407407407
24,Con Huellas de la Transformación fortalecemos comunidad en Manuel Ávila Camacho Instalamos luminaria,26,1,1,0.0
25,"Dale a tu vida una esperanza. Por un Naucalpan que escucha, cuida y acompaña. A veces, la tristeza p",58,0,0,0.0
26,Eclipse Lunar del 3 de marzo. Un fenómeno natural que nos recuerda la grandeza del universo. #Eclips,11,0,0,0.0
27,Desde #Texcoco acompañamos a la Gobernadora Delfina Gómez Álvarez en el 202 Aniversario de la Fundac,20,0,0,0.0
28,Hoy conmemoramos el Día Internacional de Protección Civil. Reconozco la invaluable labor de quienes ,19,3,0,0.15789473684210525
29,Continuamos trabajando por el bienestar de las y los naucalpenses. Seguimos atendiendo de manera pun,10,0,0,0.0
30,"El Gobierno de Ciudad #Naucalpan, encabezado por el Alcalde Isaac Montoya, llevó a cabo el Taller de",14,0,0,0.0
31,"Taller: Spa Facial El Gobierno de Ciudad Naucalpan, a través del Instituto de las Mujeres Naucalpens",23,0,0,0.0
32,"Hablar del suicidio no es peligroso, es necesario. Abrir el diálogo puede salvar vidas y escuchar si",19,0,1,-0.05263157894736842
33,"Taller: Arte con Limpiapipas Consulta fecha, horario y requisitos en la imagen. #AquiGobiernaLaEsper",11,1,0,0.09090909090909091
34,"Pago Predial Naucalpan 2026 Paga en Tesorería, receptorías, bancos o en línea. Pago en línea: https:",20,0,0,0.0
35,"En el natalicio de Matilde Montoya, recordamos a la primera médica mexicana, quien rompió barreras e",18,1,0,0.05555555555555555
36,Huellas de la Transformación en Jardines del Molinito #AquiGobiernaLaEsperanza #Naucalpan #HuellasDe,7,1,0,0.14285714285714285
37,Desde el Gobierno de Ciudad Naucalpan te invitamos a aprovechar los descuentos vigentes en el pago d,15,1,1,0.0
38,¿Sabías qué? En Italia 1934 uno de los carteles oficiales del torneo internacional de futbol mostró ,19,0,0,0.0
39,"El Gobierno de Ciudad #Naucalpan, encabezado por el Alcalde Isaac Montoya, puso en marcha el taller ",15,0,0,0.0
40,El presidente municipal Isaac Montoya encabezó una reunión con autoridades auxiliares de 14 comunida,18,0,0,0.0
41,"El Gobierno de Naucalpan recuperó el parque de Jardines del Molinito, un espacio que estuvo en aband",12,0,1,-0.08333333333333333
