palabra,frecuencia
seguridad,206
calle,195
corruptos,126
policia,120
corrupcion,118
transformacion,100
robo,99
calles,96
agua,93
guardia,86
basura,71
limpieza,58
sheinbaum,54
amlo,54
mantenimiento,52
delincuentes,44
proyecto,44
luz,41
obras,41
obra,36
proteccion,34
transito,33
construccion,32
desarrollo,31
luminarias,30
ladrones,30
carretera,30
vigilancia,28
camino,28
lopez,28
crimen,27
rehabilitacion,27
corrupto,26
peligro,25
inseguridad,24
movimiento,24
complices,24
detenido,22
avenida,21
cartel,20
puente,18
rateros,18
residuos,17
bolsa,17
vial,16
iluminacion,15
peligroso,15
delincuencia,15
infraestructura,15
edificio,15
traidores,15
fuga,14
esquina,14
proyectos,14
obrador,14
limpia,13
hidraulico,13
delincuente,13
concreto,13
baches,13
4t,13
complicidad,13
postes,12
recoleccion,12
corte,12
bolsas,12
avenidas,12
mejoramiento,12
patrullas,11
norona,11
coludidos,11
corrupta,11
contaminacion,10
morenistas,10
cuarta,10
