post_url,comentario_texto,autor,fecha_comentario,likes_comentario,es_respuesta,url_comentario
https://www.facebook.com/reel/1757980251837388/,Trasformando Naucalpan,Nimsi torres ,2026-04-30T23:03:40.000Z,0,False,https://www.facebook.com/reel/1757980251837388/?comment_id=1868850650441856
https://www.facebook.com/reel/1757980251837388/,Excelente programa!!,Miguel Ángel Colín,2026-04-30T22:28:49.000Z,0,False,https://www.facebook.com/reel/1757980251837388/?comment_id=1337837695138330
https://www.facebook.com/reel/1757980251837388/,Todos merecemos un entorno digno y la unión hace la fuerza 👏🏻👏🏻,A. Daniel  Amarillas ,2026-04-30T20:23:08.000Z,0,False,https://www.facebook.com/reel/1757980251837388/?comment_id=2136628650467222
https://www.facebook.com/reel/1757980251837388/,"Trabajo en coordinación, excelentes acciones",Mayra Lira,2026-04-30T17:21:37.000Z,0,False,https://www.facebook.com/reel/1757980251837388/?comment_id=968432022544313
https://www.facebook.com/reel/1757980251837388/,Excelente trabajo,Israel Miranda Vazquez,2026-04-30T17:20:24.000Z,0,False,https://www.facebook.com/reel/1757980251837388/?comment_id=3435255499971169
https://www.facebook.com/reel/1757980251837388/,Que siga la transformación por Naucalpan,Brigam Co. Monroy,2026-04-30T17:08:17.000Z,0,False,https://www.facebook.com/reel/1757980251837388/?comment_id=1506367764539218
https://www.facebook.com/reel/1757980251837388/,Trabajo coordinado.,Mario Abraham Mayen Anguiano,2026-04-30T17:08:15.000Z,0,False,https://www.facebook.com/reel/1757980251837388/?comment_id=1319379916773993
https://www.facebook.com/reel/1757980251837388/,"Felicidades, que bien les quedo.",Edith Hernandez,2026-04-29T21:09:34.000Z,2,False,https://www.facebook.com/reel/1757980251837388/?comment_id=2507294169702464
https://www.facebook.com/CiudadNaucalpan/posts/pfbid0tkDMTPbvG3JWe7r9HgVoLoiTFtLPy2G7z1jAwgKjEN4brqH87AZeiPJVjKH8dMVLl,Excelente curso 👍👏👏,Paty Rubio,2026-04-29T22:26:05.000Z,0,False,https://www.facebook.com/CiudadNaucalpan/posts/pfbid0tkDMTPbvG3JWe7r9HgVoLoiTFtLPy2G7z1jAwgKjEN4brqH87AZeiPJVjKH8dMVLl?comment_id=1188589586604478
https://www.facebook.com/isaacmontoya24/posts/pfbid02RcH11KTqAYc9jXB1BRWiTsQHoGMNcR5sKZCH6KWnGnC7ikpAR177h8y1j6abkbdql,"🎉¡ Felicidades!
#R6
#SeguiremosHaciendoHistoria",Berenice Lugo,2026-05-05T03:30:54.000Z,0,False,https://www.facebook.com/isaacmontoya24/posts/pfbid02RcH11KTqAYc9jXB1BRWiTsQHoGMNcR5sKZCH6KWnGnC7ikpAR177h8y1j6abkbdql?comment_id=1713117696542363
