tema_id,subtema,nombre_completo,participacion_pct,intensidad_media,impacto_en_polaridad,direccion,confianza,contribucion_pct,coef_ridge,coef_logit,correlacion,ranking_contribucion,mensaje
3,obras,Obra Pública e Inversión - Obras,10.47,0.0499,Alta,Polaridad positiva,Alta,15.36,0.458541,0.11522,0.462748,1,Obra Pública e Inversión - Obras: Polaridad positiva | impacto Alta | confianza Alta | contribución 15.36%.
6,gobierno,Gobernanza y Administración Pública - Gobierno,12.02,0.0309,Alta,Polaridad positiva,Alta,13.33,0.398069,0.07046,0.466017,2,Gobernanza y Administración Pública - Gobierno: Polaridad positiva | impacto Alta | confianza Alta | contribución 13.33%.
1,delitos_patrimoniales,Seguridad y Criminalidad - Delitos_patrimoniales,2.94,-0.0164,Alta,Polaridad negativa,Alta,11.47,0.342634,0.033682,0.361349,3,Seguridad y Criminalidad - Delitos_patrimoniales: Polaridad negativa | impacto Alta | confianza Alta | contribución 11.47%.
1,prevencion_vigilancia,Seguridad y Criminalidad - Prevencion_vigilancia,8.5,0.0637,Alta,Polaridad positiva,Alta,11.28,0.336782,0.122711,0.350922,4,Seguridad y Criminalidad - Prevencion_vigilancia: Polaridad positiva | impacto Alta | confianza Alta | contribución 11.28%.
0,basura,Servicios e Infraestructura Pública - Basura,5.44,0.0014,Alta,Polaridad positiva,Alta,7.5,0.223831,0.084652,0.362446,5,Servicios e Infraestructura Pública - Basura: Polaridad positiva | impacto Alta | confianza Alta | contribución 7.50%.
4,educacion,Educación y Cultura - Educacion,5.89,0.0424,Alta,Polaridad positiva,Alta,7.24,0.216189,0.10805,0.296785,6,Educación y Cultura - Educacion: Polaridad positiva | impacto Alta | confianza Alta | contribución 7.24%.
1,violencia_crimen_organizado,Seguridad y Criminalidad - Violencia_crimen_organizado,2.74,-0.0433,Alta,Polaridad negativa,Alta,5.99,0.178865,0.054378,0.210556,7,Seguridad y Criminalidad - Violencia_crimen_organizado: Polaridad negativa | impacto Alta | confianza Alta | contribución 5.99%.
4,cultura,Educación y Cultura - Cultura,3.35,0.0188,Alta,Polaridad positiva,Alta,5.95,0.177609,0.050548,0.248329,8,Educación y Cultura - Cultura: Polaridad positiva | impacto Alta | confianza Alta | contribución 5.95%.
1,violencia_personas,Seguridad y Criminalidad - Violencia_personas,1.84,-0.0165,Alta,Polaridad negativa,Media,4.64,0.138632,0.030919,0.138253,9,Seguridad y Criminalidad - Violencia_personas: Polaridad negativa | impacto Alta | confianza Media | contribución 4.64%.
0,alumbrado,Servicios e Infraestructura Pública - Alumbrado,4.46,0.0567,Alta,Polaridad positiva,Media,4.62,0.138014,0.110703,0.193908,10,Servicios e Infraestructura Pública - Alumbrado: Polaridad positiva | impacto Alta | confianza Media | contribución 4.62%.
2,pavimento,Medio Ambiente y Servicios de Agua - Pavimento,1.47,-0.031,Alta,Polaridad negativa,Media,4.06,0.121195,0.03369,0.184766,11,Medio Ambiente y Servicios de Agua - Pavimento: Polaridad negativa | impacto Alta | confianza Media | contribución 4.06%.
2,vialidad,Medio Ambiente y Servicios de Agua - Vialidad,6.66,-0.0345,Alta,Polaridad negativa,Media,3.97,0.11866,0.03288,0.154666,12,Medio Ambiente y Servicios de Agua - Vialidad: Polaridad negativa | impacto Alta | confianza Media | contribución 3.97%.
0,agua,Servicios e Infraestructura Pública - Agua,3.03,0.0289,Alta,Polaridad positiva,Media,2.64,0.078831,0.054511,0.184266,13,Servicios e Infraestructura Pública - Agua: Polaridad positiva | impacto Alta | confianza Media | contribución 2.64%.
2,drenaje,Medio Ambiente y Servicios de Agua - Drenaje,0.45,-0.0537,Alta,Polaridad negativa,Media,1.95,0.058171,0.014461,0.099017,14,Medio Ambiente y Servicios de Agua - Drenaje: Polaridad negativa | impacto Alta | confianza Media | contribución 1.95%.
