tema_id,subtema,nombre_completo,participacion_pct,intensidad_media,impacto_en_polaridad,direccion,confianza,contribucion_pct,coef_ridge,coef_logit,correlacion
0,agua,Servicios e Infraestructura Pública - Agua,3.38,0.0198,Media,Polaridad positiva,Media,1.21,0.034497,0.041424,0.1768
0,alumbrado,Servicios e Infraestructura Pública - Alumbrado,3.89,0.0749,Alta,Polaridad positiva,Alta,5.51,0.157284,0.088244,0.211275
0,basura,Servicios e Infraestructura Pública - Basura,8.18,-0.0355,Alta,Polaridad negativa,Alta,8.71,0.248687,0.049316,0.422171
1,delitos_patrimoniales,Seguridad y Criminalidad - Delitos_patrimoniales,5.93,-0.101,Alta,Polaridad negativa,Alta,15.52,0.443105,0.018293,0.455399
1,prevencion_vigilancia,Seguridad y Criminalidad - Prevencion_vigilancia,9.49,0.0487,Alta,Polaridad positiva,Alta,7.95,0.227063,0.074758,0.276907
1,violencia_crimen_organizado,Seguridad y Criminalidad - Violencia_crimen_organizado,8.31,-0.0873,Alta,Polaridad negativa,Alta,12.72,0.36311,0.026106,0.398061
1,violencia_personas,Seguridad y Criminalidad - Violencia_personas,3.4,-0.0455,Alta,Polaridad negativa,Alta,6.64,0.189456,0.028835,0.249172
2,drenaje,Medio Ambiente y Servicios de Agua - Drenaje,0.6,-0.0744,Alta,Polaridad negativa,Baja,3.74,0.106823,0.001871,0.136144
2,pavimento,Medio Ambiente y Servicios de Agua - Pavimento,1.08,-0.039,Alta,Polaridad negativa,Media,3.74,0.106884,0.010522,0.112834
2,vialidad,Medio Ambiente y Servicios de Agua - Vialidad,5.77,-0.0445,Alta,Polaridad negativa,Media,3.17,0.090626,0.011671,0.096621
3,obras,Obra Pública e Inversión - Obras,7.8,0.0253,Alta,Polaridad positiva,Alta,8.93,0.255055,0.075045,0.313231
4,cultura,Educación y Cultura - Cultura,3.94,-0.0084,Alta,Polaridad negativa,Alta,5.72,0.163239,0.036866,0.368519
4,educacion,Educación y Cultura - Educacion,4.52,0.0119,Alta,Polaridad positiva,Alta,6.18,0.176531,0.062208,0.380428
6,gobierno,Gobernanza y Administración Pública - Gobierno,14.73,-0.0433,Alta,Polaridad negativa,Alta,10.26,0.292902,0.031953,0.463652
