palabra,frecuencia
basura,156
seguridad,131
guardia,91
agua,90
calle,67
calles,64
inundaciones,45
obras,40
corrupcion,40
obra,39
delincuentes,38
policia,36
proyecto,34
residuos,31
limpieza,30
fuga,30
tirar,28
proteccion,28
peligro,28
avenida,28
puente,28
desbordamiento,28
robo,27
transformacion,27
desarrollo,24
camino,22
rehabilitacion,22
vigilancia,20
ladrones,20
construccion,20
luz,19
asalto,18
cartel,18
crimen,17
drenaje,17
aguas,16
infraestructura,16
mantenimiento,16
peligroso,15
vialidades,15
lopez,15
limpiar,14
sheinbaum,14
limpia,12
reciclaje,11
oapas,10
oscuro,10
delincuencia,10
banquetas,10
reparacion,10
corruptos,10
vial,9
amlo,9
vialidad,8
negras,8
transito,8
circulacion,8
proyectos,8
inseguridad,7
criminal,7
detenido,7
baches,7
edificio,7
cuarta,7
movimiento,7
corrupto,7
alcantarillado,6
contaminacion,6
esquina,6
banqueta,6
remodelacion,6
fraude,6
rateros,6
vendidos,6
alumbrado,5
